episode,timestep,ep_reward,ep_len,success,level,success_rate,range_min,range_max,action_std
400,6203,3.183,12,0,0,0.000,0.050,0.250,0.600
401,6223,2.700,20,0,0,0.000,0.050,0.250,0.600
402,6236,4.230,13,0,0,0.000,0.050,0.250,0.600
403,6264,-6.924,28,0,0,0.000,0.050,0.250,0.600
404,6303,43.905,39,0,0,0.000,0.050,0.250,0.600
405,6326,14.307,23,0,0,0.000,0.050,0.250,0.600
406,6347,13.473,21,0,0,0.000,0.050,0.250,0.600
407,6364,4.144,17,0,0,0.000,0.050,0.250,0.600
408,6382,-3.167,18,0,0,0.000,0.050,0.250,0.600
409,6404,8.989,22,0,0,0.000,0.050,0.250,0.600
410,6415,2.037,11,0,0,0.000,0.050,0.250,0.600
411,6427,1.725,12,0,0,0.000,0.050,0.250,0.600
412,6448,9.013,21,0,0,0.000,0.050,0.250,0.600
413,6462,3.714,14,0,0,0.000,0.050,0.250,0.600
414,6489,4.883,27,0,0,0.000,0.050,0.250,0.600
415,6506,8.762,17,0,0,0.000,0.050,0.250,0.600
416,6518,4.376,12,0,0,0.000,0.050,0.250,0.600
417,6527,1.917,9,0,0,0.000,0.050,0.250,0.600
418,6546,17.068,19,0,0,0.000,0.050,0.250,0.600
419,6558,4.703,12,0,0,0.000,0.050,0.250,0.600
420,6570,4.490,12,0,0,0.000,0.050,0.250,0.600
421,6589,10.747,19,0,0,0.000,0.050,0.250,0.600
422,6612,11.516,23,0,0,0.000,0.050,0.250,0.600
423,6629,6.989,17,0,0,0.000,0.050,0.250,0.600
424,6645,6.422,16,0,0,0.000,0.050,0.250,0.600
425,6657,3.866,12,0,0,0.000,0.050,0.250,0.600
426,6680,-7.944,23,0,0,0.000,0.050,0.250,0.600
427,6698,1.908,18,0,0,0.000,0.050,0.250,0.600
428,6707,0.502,9,0,0,0.000,0.050,0.250,0.600
429,6719,2.675,12,0,0,0.000,0.050,0.250,0.600
430,6729,3.393,10,0,0,0.000,0.050,0.250,0.600
431,6743,3.953,14,0,0,0.000,0.050,0.250,0.600
432,6756,5.742,13,0,0,0.000,0.050,0.250,0.600
433,6769,7.541,13,0,0,0.000,0.050,0.250,0.600
434,6786,4.589,17,0,0,0.000,0.050,0.250,0.600
435,6811,3.046,25,0,0,0.000,0.050,0.250,0.600
436,6821,3.283,10,0,0,0.000,0.050,0.250,0.600
437,6834,3.475,13,0,0,0.000,0.050,0.250,0.600
438,6841,1.845,7,0,0,0.000,0.050,0.250,0.600
439,6850,1.886,9,0,0,0.000,0.050,0.250,0.600
440,6864,6.931,14,0,0,0.000,0.050,0.250,0.600
441,6876,4.990,12,0,0,0.000,0.050,0.250,0.600
442,6904,3.645,28,0,0,0.000,0.050,0.250,0.600
443,6922,7.494,18,0,0,0.000,0.050,0.250,0.600
444,6950,-1.599,28,0,0,0.000,0.050,0.250,0.600
